eventName,year,finishPlace,adjustedTime,lane,screenFile,seed,boatLabel,adjustedTimeString,boatId,handicap,penalty,adjustedTimeDelta,rawTimeDelta,adjustedTimePercent,rawTimePercent,laneLong,penaltyCode,boatStatus,rawTimeString,handicapString,penaltyString,adjustedTimeDeltaString,rawTimeDeltaString,avg_age,adjustedTimePercentString,rawTimePercentString,photoId,composite,longName,displayNum,altTitle,sp1Delta,sp2Delta,sp3Delta,dtUpdated,sp1Label,sp2Label,sp3Label,sp4Label,distanceRowed,distanceDelta,distancePercent,detailsUrl,orderOfFinishPlace,sp4RawTime,sp1RawTime,sp1RawTimeString,sp1Location,sp1Distance,sp2RawTime,sp2RawTimeString,sp2Location,sp2Distance,sp3RawTime,sp3RawTimeString,sp3Location,sp3Distance,sp4RawTimeString,sp4Location,sp4Distance,orgCount,sp1Split,sp1Place,sp2Split,sp2Place,sp3Split,sp3Place,sp4Split,sp1SplitPlace,sp2SplitPlace,sp3SplitPlace,sp4SplitPlace,sp1SplitTimeString,sp2SplitTimeString,sp3SplitTimeString,sp4SplitTimeString,sp1MarginString,sp2MarginString,sp3MarginString,avgAge,orgName,marginComment,comment,divisionTitle
Men's Club Eights,2012,1,881266,1,153_1267070876970.png,A,M. Douglas,14:41.266,2836,0,0,0,0,0.0,0.0,1,,,14:41.266,0.00,,,,18,,,0,,Brown,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,1st,881266,196429,3:16.429,1,0,474376,7:54.376,2,0,724989,12:04.989,3,0,14:41.266,4,0,1,196429,0,277947,0,250613,0,156277,0,0,0,0,3:16.429,4:37.947,4:10.613,2:36.277,,,,18,Brown,,,
Men's Club Eights,2012,2,898075,6,177_1211370586294.png,A,P. Mastroyannis,14:58.075,4754,0,0,16810,16810,0.0191,0.0191,6,,,14:58.075,0.00,,0:16.810,0:16.810,20,1.91,1.91,0,,Yale,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,2nd,898075,202024,3:22.024,1,0,485352,8:05.352,2,0,740208,12:20.208,3,0,14:58.075,4,0,1,202024,0,283328,0,254856,0,157867,0,0,0,0,3:22.024,4:43.328,4:14.856,2:37.867,,,,20,Yale,,,
Men's Club Eights,2012,3,900860,2,63_1211511763522.png,A,R. Meder,15:00.860,6250,0,0,2780,2780,0.0222,0.0222,2,,,15:00.860,0.00,,0:02.780,0:02.780,19,2.22,2.22,0,,Princeton,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,3rd,900860,201469,3:21.469,1,0,487898,8:07.898,2,0,743187,12:23.187,3,0,15:00.860,4,0,1,201469,0,286429,0,255289,0,157673,0,0,0,0,3:21.469,4:46.429,4:15.289,2:37.673,,,,19,Princeton,,,
Men's Club Eights,2012,4,915873,5,78_1211367876374.png,A,V. RAGOUSSIS,15:15.873,5736,0,0,15010,15010,0.0393,0.0393,5,,,15:15.873,0.00,,0:15.010,0:15.010,18,3.93,3.93,0,,BU Men,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,4th,915873,208792,3:28.792,1,0,503044,8:23.044,2,0,758622,12:38.622,3,0,15:15.873,4,0,1,208792,0,294252,0,255578,0,157251,0,0,0,0,3:28.792,4:54.252,4:15.578,2:37.251,,,,18,BU Men,,,
Men's Club Eights,2012,5,916166,7,2316_1495480215716.png,A,J. Stein,15:16.166,4904,0,0,300,300,0.0396,0.0396,7,,,15:16.166,0.00,,0:00.300,0:00.300,19,3.96,3.96,0,,Northeastern University,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,5th,916166,207196,3:27.196,1,0,497416,8:17.416,2,0,756119,12:36.119,3,0,15:16.166,4,0,1,207196,0,290220,0,258703,0,160047,0,0,0,0,3:27.196,4:50.220,4:18.703,2:40.047,,,,19,Northeastern University,,,
Men's Club Eights,2012,6,919207,3,172_1211369665746.png,A,G. Edwards,15:19.207,5086,0,0,3040,3040,0.0431,0.0431,3,,,15:19.207,0.00,,0:03.040,0:03.040,20,4.31,4.31,0,,Harvard U,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,6th,919207,207180,3:27.180,1,0,500337,8:20.337,2,0,759991,12:39.991,3,0,15:19.207,4,0,1,207180,0,293157,0,259654,0,159216,0,0,0,0,3:27.180,4:53.157,4:19.654,2:39.216,,,,20,Harvard U,,,
Men's Club Eights,2012,7,919228,10,78_1211367876374.png,B,J. SZRAMIAK,15:19.228,5738,0,0,20,20,0.0431,0.0431,10,,,15:19.228,0.00,,0:00.020,0:00.020,20,4.31,4.31,0,,BU Men,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,7th,919228,207617,3:27.617,1,0,500562,8:20.562,2,0,760029,12:40.029,3,0,15:19.228,4,0,1,207617,0,292945,0,259467,0,159199,0,0,0,0,3:27.617,4:52.945,4:19.467,2:39.199,,,,20,BU Men,,,
Men's Club Eights,2012,8,924801,9,153_1267070876970.png,B,M. Filmer,15:24.801,4970,0,0,5570,5570,0.0494,0.0494,9,,,15:24.801,0.00,,0:05.570,0:05.570,19,4.94,4.94,0,,Brown,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,8th,924801,211529,3:31.529,1,0,502952,8:22.952,2,0,763177,12:43.177,3,0,15:24.801,4,0,1,211529,0,291423,0,260225,0,161624,0,0,0,0,3:31.529,4:51.423,4:20.225,2:41.624,,,,19,Brown,,,
Men's Club Eights,2012,9,934769,12,405_1340136607679.png,A,S. Ahmad,15:34.769,6094,0,0,9970,9970,0.0607,0.0607,12,,,15:34.769,0.00,,0:09.970,0:09.970,32,6.07,6.07,0,,Fat Cat,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,9th,934769,211111,3:31.111,1,0,506524,8:26.524,2,0,771008,12:51.008,3,0,15:34.769,4,0,1,211111,0,295413,0,264484,0,163761,0,0,0,0,3:31.111,4:55.413,4:24.484,2:43.761,,,,32,Fat Cat,,,
Men's Club Eights,2012,10,935939,15,172_1211369665746.png,B,A. Patterson,15:35.939,5088,0,0,1170,1170,0.062,0.062,15,,,15:35.939,0.00,,0:01.170,0:01.170,18,6.20,6.20,0,,Harvard U,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,10th,935939,210391,3:30.391,1,0,509335,8:29.335,2,0,772662,12:52.662,3,0,15:35.939,4,0,1,210391,0,298944,0,263327,0,163277,0,0,0,0,3:30.391,4:58.944,4:23.327,2:43.277,,,,18,Harvard U,,,
